アーティスト	アーティスト(ソート用)	曲名	最近の歌唱
UNISON SQUARE GARDEN	UNISON SQUARE GARDEN	シュガーソングとビターステップ	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=15053
Vaundy	Vaundy	napori	https://www.youtube.com/live/7AO0pzyJtLE?si=5iKHGNjfGH8OxSY8&t=394
Vaundy	Vaundy	不可幸力	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=6589
Vaundy	Vaundy	怪獣の花唄	https://www.youtube.com/live/NkjXzUMUZpw?si=EmGBj6Hh6tIlwjGQ&t=4131
Vaundy	Vaundy	恋風邪に乗せて	https://www.youtube.com/live/7AO0pzyJtLE?si=5iKHGNjfGH8OxSY8&t=1584
Vaundy	Vaundy	東京フラッシュ	https://www.youtube.com/live/BjWSIm9kSZs?si=1oMuQyZMLWArIABK&t=2117
Vaundy	Vaundy	灯火	https://www.youtube.com/live/keSRwH4Zr7g?si=RPmDxNZjQB1dZWSK&t=3260
Vaundy	Vaundy	置き手紙	https://www.youtube.com/live/BjWSIm9kSZs?si=1oMuQyZMLWArIABK&t=1290
Vaundy	Vaundy	花占い	https://www.youtube.com/live/w3oM0fDmwz4?si=VVO-ga6uipBLMrpR&t=1220
Vaundy	Vaundy	踊り子	https://www.youtube.com/live/w3oM0fDmwz4?si=VVO-ga6uipBLMrpR&t=851
YOASOBI	YOASOBI	あの夢をなぞって	https://www.youtube.com/live/OEtLBen9pLM?si=M4WDMSGkkHfWLvDr&t=1859
YOASOBI	YOASOBI	アイドル	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=2966
YOASOBI	YOASOBI	アンコール	https://www.youtube.com/live/FGNU1iQLiNM?si=B75Oqj0tjRBiyl5j&t=3321
YOASOBI	YOASOBI	ハルジオン	https://www.youtube.com/live/OYaf_O-6WRs?si=20Zo4VVa8PxJbw_X&t=1918
YOASOBI	YOASOBI	優しい彗星	https://www.youtube.com/live/OYaf_O-6WRs?si=20Zo4VVa8PxJbw_X&t=2258
YOASOBI	YOASOBI	夜に駆ける	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=15713
YOASOBI	YOASOBI	群青	https://www.youtube.com/live/lQQh4G5up3Y?si=U2BJIBIs-2OZdL6R&t=2686
YUI	YUI	CHE.R.RY	https://www.youtube.com/live/8eShd7lbOHQ?si=tMBt33Wr9js5gLMn&t=1070
YUI	YUI	GLORIA	https://www.youtube.com/live/8eShd7lbOHQ?si=tMBt33Wr9js5gLMn&t=4033
YUI	YUI	HELLO〜Paradise Kiss〜	https://www.youtube.com/live/8eShd7lbOHQ?si=tMBt33Wr9js5gLMn&t=1964
YUI	YUI	How Crazy	https://www.youtube.com/live/8eShd7lbOHQ?si=tMBt33Wr9js5gLMn&t=2957
YUI	YUI	Laugh away	https://www.youtube.com/live/8eShd7lbOHQ?si=tMBt33Wr9js5gLMn&t=1468
YUI	YUI	Rolling star	https://www.youtube.com/live/8eShd7lbOHQ?si=tMBt33Wr9js5gLMn&t=3547
YUI	YUI	SUMMER SONG	https://www.youtube.com/live/nyXzxG79mwQ?si=kGuFyOuc0o-yNPOU&t=2702
YUI	YUI	again	https://www.youtube.com/live/8eShd7lbOHQ?si=tMBt33Wr9js5gLMn&t=2457
YUI for 雨音薫	YUI for あまおとかおる	Good-bye days	https://www.youtube.com/live/8eShd7lbOHQ?si=tMBt33Wr9js5gLMn&t=4486
Yui	Yui	Laugh away	https://www.youtube.com/live/BTi31luRntI?si=HKZA9dD6UF6pnPvq&t=1542
ZAQ	ZAQ	カーストルーム	https://www.youtube.com/live/JAK2m4FWxF0?si=Xy-B8lpcz7dX_b5n&t=5909
aiko	aiko	milk	https://www.youtube.com/live/BjWSIm9kSZs?si=1oMuQyZMLWArIABK&t=3679
aiko	aiko	カブトムシ	https://www.youtube.com/live/N0Tp3auhZ54?si=TUAMJQ8TqFkAVZ1r&t=2589
aiko	aiko	花火	https://www.youtube.com/live/6wh0qjbo6K4?si=vntI9mYE52ZplV6U&t=5498
